symbol,company_name,sector,industry,exchange,price,market_cap,market_cap_display,pe_ratio,roe,roe_pct,dividend_yield,dividend_yield_pct,debt_equity,beta,roic,fcf_yield,revenue_growth_1yr,eps,ma_200,score_valuation,score_quality,score_growth,score_dividend,score_moat,total_score,score_category,rank,rank_change,is_profitable,is_dividend_paying,above_200ma,is_penny_stock,last_updated
INTC,Intel Corporation,Technology,Semiconductors,NASDAQ,21.20,90000000000,$90B,-8.5,-0.015,-1.5%,0.0472,4.72%,0.48,1.05,-0.025,0.015,-0.185,-2.50,28.40,28,8,5,15,4,60,Fair,68,-8,FALSE,TRUE,FALSE,FALSE,2025-01-12
GOOG,Alphabet Inc.,Technology,Internet Content,NASDAQ,142.50,1780000000000,$1.8T,22.8,0.285,28.5%,0,0%,0.08,1.05,0.242,0.042,0.128,6.25,138.40,19,24,18,0,9,70,Good,30,2,TRUE,FALSE,TRUE,FALSE,2025-01-12
META,Meta Platforms,Technology,Internet Content,NASDAQ,512.80,1310000000000,$1.3T,28.5,0.285,28.5%,0.0038,0.38%,0.12,1.18,0.312,0.028,0.158,18.02,485.60,17,24,19,5,8,73,Good,16,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,485.20,1195000000000,$1.2T,65.2,0.685,68.5%,0.0004,0.04%,0.42,1.72,0.425,0.012,1.258,7.45,425.80,6,22,20,2,10,60,Fair,62,5,TRUE,TRUE,TRUE,FALSE,2025-01-12
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,NASDAQ,248.50,792000000000,$792B,72.5,0.185,18.5%,0,0%,0.15,2.05,0.142,0.008,0.185,3.42,228.40,5,18,18,0,8,49,Poor,85,-12,TRUE,FALSE,TRUE,FALSE,2025-01-12
LLY,Eli Lilly,Healthcare,Drug Manufacturers,NYSE,785.20,745000000000,$745B,125.5,0.585,58.5%,0.0078,0.78%,1.85,0.42,0.285,0.008,0.285,6.25,725.60,4,20,20,9,9,62,Fair,58,8,TRUE,TRUE,TRUE,FALSE,2025-01-12
MA,Mastercard,Financials,Credit Services,NYSE,458.20,428000000000,$428B,35.8,0.165,16.5%,0.0058,0.58%,2.15,1.08,0.425,0.025,0.118,12.80,442.50,14,22,16,7,9,68,Fair,47,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
ORCL,Oracle Corporation,Technology,Software,NYSE,168.50,465000000000,$465B,38.5,0.985,98.5%,0.0125,1.25%,8.52,1.12,0.185,0.022,0.085,4.38,162.40,12,17,14,10,7,60,Fair,64,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
CRM,Salesforce,Technology,Software,NYSE,285.40,276000000000,$276B,48.2,0.085,8.5%,0,0%,0.18,1.25,0.125,0.018,0.112,5.92,272.80,10,19,15,0,8,52,Poor,78,2,TRUE,FALSE,TRUE,FALSE,2025-01-12
AMD,AMD Inc.,Technology,Semiconductors,NASDAQ,125.80,203000000000,$203B,125.5,0.042,4.2%,0,0%,0.05,1.68,0.085,0.008,0.125,1.00,118.60,4,16,16,0,7,43,Poor,92,-5,TRUE,FALSE,TRUE,FALSE,2025-01-12
T,AT&T Inc.,Communication Services,Telecom,NYSE,22.50,161000000000,$161B,12.5,0.085,8.5%,0.0498,4.98%,1.25,0.72,0.065,0.085,0.012,1.80,21.80,25,15,8,15,5,68,Fair,49,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
VZ,Verizon,Communication Services,Telecom,NYSE,42.80,180000000000,$180B,9.8,0.185,18.5%,0.0658,6.58%,1.58,0.42,0.098,0.068,-0.025,4.38,41.20,27,18,6,15,5,71,Good,24,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
DIS,Walt Disney,Communication Services,Entertainment,NYSE,112.50,206000000000,$206B,72.5,0.042,4.2%,0.0088,0.88%,0.48,1.25,0.065,0.012,0.042,1.55,108.40,8,14,10,8,8,48,Poor,88,3,TRUE,TRUE,TRUE,FALSE,2025-01-12
NFLX,Netflix,Communication Services,Entertainment,NASDAQ,625.80,272000000000,$272B,42.5,0.285,28.5%,0,0%,0.72,1.42,0.185,0.022,0.142,14.72,598.40,11,22,17,0,8,58,Poor,72,5,TRUE,FALSE,TRUE,FALSE,2025-01-12
IBM,IBM,Technology,IT Services,NYSE,168.20,154000000000,$154B,22.5,0.285,28.5%,0.0328,3.28%,2.85,0.82,0.142,0.042,0.025,7.48,162.50,18,18,8,14,6,64,Fair,55,-2,TRUE,TRUE,TRUE,FALSE,2025-01-12
GE,GE Aerospace,Industrials,Aerospace,NYSE,168.50,183000000000,$183B,28.5,0.285,28.5%,0.0072,0.72%,0.85,1.15,0.165,0.032,0.285,5.92,158.40,17,21,18,8,7,71,Good,23,2,TRUE,TRUE,TRUE,FALSE,2025-01-12
CAT,Caterpillar,Industrials,Farm Equipment,NYSE,358.20,175000000000,$175B,15.8,0.485,48.5%,0.0168,1.68%,1.85,1.05,0.285,0.058,0.125,22.68,342.60,22,22,16,11,8,79,Good,7,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
DE,Deere & Company,Industrials,Farm Equipment,NYSE,425.80,122000000000,$122B,12.5,0.385,38.5%,0.0142,1.42%,1.42,1.12,0.225,0.065,0.085,34.08,412.40,24,23,14,10,8,79,Good,6,-1,TRUE,TRUE,TRUE,FALSE,2025-01-12
MMM,3M Company,Industrials,Conglomerates,NYSE,128.50,71000000000,$71B,18.2,0.285,28.5%,0.0528,5.28%,1.85,0.95,0.142,0.048,0.025,7.08,124.60,20,18,8,15,6,67,Fair,51,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
HON,Honeywell,Industrials,Conglomerates,NYSE,212.50,138000000000,$138B,22.5,0.312,31.2%,0.0205,2.05%,1.25,1.02,0.185,0.038,0.055,9.45,205.80,18,21,12,12,7,70,Good,29,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
UPS,UPS,Industrials,Integrated Freight,NYSE,128.50,110000000000,$110B,18.5,0.485,48.5%,0.0498,4.98%,1.52,1.08,0.285,0.052,-0.085,6.95,135.20,20,20,6,15,7,68,Fair,50,2,TRUE,TRUE,FALSE,FALSE,2025-01-12
